#METADATA SECTION 
#Type = Measurement 
#Mobile = false 
#Owner = Idira 
#Phenomenon = waterlevel 
#Phenomenon_Unit = cm 
#Sensor_no = 11

#unique_id longitude latitude status 
#GAUGING_STATION_501010 14.235220312059628 50.87576423112548 true
#GAUGING_STATION_501040 13.9329961861314 50.96447437430193 true
#GAUGING_STATION_550100 14.244613242052962 50.92842998727773 true 
#GAUGING_STATION_550190 14.133844648218808 50.94186451129637 true 
#GAUGING_STATION_550302 14.269691931001875 50.97101787879455 true 
#GAUGING_STATION_550390 14.21134715658831 51.028348553912714 true
#GAUGING_STATION_550490 14.046572253178677 50.88185608656877 true
#GAUGING_STATION_550560 14.108149231535268 50.88674713893094 true
#GAUGING_STATION_550620 13.97732671472615 50.91632870973011 true
#GAUGING_STATION_550710 13.979576936961205 50.83283735538427 true
#GAUGING_STATION_550810 13.993816585389949 51.022094948027565 true

#unique_id timestamp longitude latitude waterlevel
GAUGING_STATION_501040 400 13.9329961861314 50.96447437430193 620.0
GAUGING_STATION_501010 650 14.235220312059628 50.87576423112548 330.0
GAUGING_STATION_550190 900 14.133844648218808 50.94186451129637 83.0
GAUGING_STATION_550100 1150 14.244613242052962 50.92842998727773 24.0
GAUGING_STATION_550302 1400 14.269691931001875 50.97101787879455 55.0
GAUGING_STATION_550810 1650 13.993816585389949 51.022094948027565 60.0
GAUGING_STATION_550390 1900 14.21134715658831 51.028348553912714 43.0
GAUGING_STATION_550620 2150 13.97732671472615 50.91632870973011 66.0
GAUGING_STATION_550490 2400 14.046572253178677 50.88185608656877 34.0
GAUGING_STATION_550560 2650 14.108149231535268 50.88674713893094 12.0
GAUGING_STATION_550710 2900 13.979576936961205 50.83283735538427 28.0
GAUGING_STATION_501040 10400 13.9329961861314 50.96447437430193 622.0
GAUGING_STATION_501010 10650 14.235220312059628 50.87576423112548 340.0
GAUGING_STATION_550190 10900 14.133844648218808 50.94186451129637 83.0
GAUGING_STATION_550100 11150 14.244613242052962 50.92842998727773 27.0
GAUGING_STATION_550302 11400 14.269691931001875 50.97101787879455 53.0
GAUGING_STATION_550810 11650 13.993816585389949 51.022094948027565 60.0
GAUGING_STATION_550390 11900 14.21134715658831 51.028348553912714 44.0
GAUGING_STATION_550620 12150 13.97732671472615 50.91632870973011 64.0
GAUGING_STATION_550490 12400 14.046572253178677 50.88185608656877 34.0
GAUGING_STATION_550560 12650 14.108149231535268 50.88674713893094 12.0
GAUGING_STATION_550710 12900 13.979576936961205 50.83283735538427 28.0
GAUGING_STATION_501040 20400 13.9329961861314 50.96447437430193 624.0
GAUGING_STATION_501010 20650 14.235220312059628 50.87576423112548 349.0
GAUGING_STATION_550190 20900 14.133844648218808 50.94186451129637 84.0
GAUGING_STATION_550100 21150 14.244613242052962 50.92842998727773 29.0
GAUGING_STATION_550302 21400 14.269691931001875 50.97101787879455 52.0
GAUGING_STATION_550810 21650 13.993816585389949 51.022094948027565 61.0
GAUGING_STATION_550390 21900 14.21134715658831 51.028348553912714 43.0
GAUGING_STATION_550620 22150 13.97732671472615 50.91632870973011 64.0
GAUGING_STATION_550490 22400 14.046572253178677 50.88185608656877 34.0
GAUGING_STATION_550560 22650 14.108149231535268 50.88674713893094 12.0
GAUGING_STATION_550710 22900 13.979576936961205 50.83283735538427 29.0
GAUGING_STATION_501040 30400 13.9329961861314 50.96447437430193 626.0
GAUGING_STATION_501010 30650 14.235220312059628 50.87576423112548 355.0
GAUGING_STATION_550190 30900 14.133844648218808 50.94186451129637 89.0
GAUGING_STATION_550100 31150 14.244613242052962 50.92842998727773 30.0
GAUGING_STATION_550302 31400 14.269691931001875 50.97101787879455 53.0
GAUGING_STATION_550810 31650 13.993816585389949 51.022094948027565 66.0
GAUGING_STATION_550390 31900 14.21134715658831 51.028348553912714 43.0
GAUGING_STATION_550620 32150 13.97732671472615 50.91632870973011 64.0
GAUGING_STATION_550490 32400 14.046572253178677 50.88185608656877 34.0
GAUGING_STATION_550560 32650 14.108149231535268 50.88674713893094 12.0
GAUGING_STATION_550710 32900 13.979576936961205 50.83283735538427 30.0
GAUGING_STATION_501040 40400 13.9329961861314 50.96447437430193 630.0
GAUGING_STATION_501010 40650 14.235220312059628 50.87576423112548 362.0
GAUGING_STATION_550190 40900 14.133844648218808 50.94186451129637 104.0
GAUGING_STATION_550100 41150 14.244613242052962 50.92842998727773 33.0
GAUGING_STATION_550302 41400 14.269691931001875 50.97101787879455 57.0
GAUGING_STATION_550810 41650 13.993816585389949 51.022094948027565 74.0
GAUGING_STATION_550390 41900 14.21134715658831 51.028348553912714 50.0
GAUGING_STATION_550620 42150 13.97732671472615 50.91632870973011 64.0
GAUGING_STATION_550490 42400 14.046572253178677 50.88185608656877 34.0
GAUGING_STATION_550560 42650 14.108149231535268 50.88674713893094 12.0
GAUGING_STATION_550710 42900 13.979576936961205 50.83283735538427 30.0
GAUGING_STATION_501040 50400 13.9329961861314 50.96447437430193 636.0
GAUGING_STATION_501010 50650 14.235220312059628 50.87576423112548 375.0
GAUGING_STATION_550190 50900 14.133844648218808 50.94186451129637 120.0
GAUGING_STATION_550100 51150 14.244613242052962 50.92842998727773 37.0
GAUGING_STATION_550302 51400 14.269691931001875 50.97101787879455 64.0
GAUGING_STATION_550810 51650 13.993816585389949 51.022094948027565 82.0
GAUGING_STATION_550390 51900 14.21134715658831 51.028348553912714 65.0
GAUGING_STATION_550620 52150 13.97732671472615 50.91632870973011 64.0
GAUGING_STATION_550490 52400 14.046572253178677 50.88185608656877 35.0
